dd
CommandType     Name                                               Version    Source
Function        Get-SamDomain                                      2.0.1      NtObjectManager
Function        Get-SamGroup                                       2.0.1      NtObjectManager
Function        Get-SamGroupMember                                 2.0.1      NtObjectManager
Function        Get-SamUser                                        2.0.1      NtObjectManager
Function        Get-ServicePrincipalName                           2.0.1      NtObjectManager
Function        Get-SocketSecurity                                 2.0.1      NtObjectManager
Function        Get-Win32Credential                                2.0.1      NtObjectManager
Function        Get-Win32File                                      2.0.1      NtObjectManager
Function        Get-Win32Module                                    2.0.1      NtObjectManager
Function        Get-Win32ModuleExport                              2.0.1      NtObjectManager
Function        Get-Win32ModuleImport                              2.0.1      NtObjectManager
Function        Get-Win32ModuleManifest                            2.0.1      NtObjectManager
Function        Get-Win32ModuleResource                            2.0.1      NtObjectManager
Function        Get-Win32ModuleSymbolFile                          2.0.1      NtObjectManager
Function        Get-Win32Service                                   2.0.1      NtObjectManager
Function        Get-Win32ServiceConfig                             2.0.1      NtObjectManager
Function        Get-Win32ServiceSecurityDescriptor                 2.0.1      NtObjectManager
Function        Get-Win32ServiceTrigger                            2.0.1      NtObjectManager
Function        Get-X509Certificate                                2.0.1      NtObjectManager
Function        Import-KerberosKeyTab                              2.0.1      NtObjectManager
Function        Import-KerberosTicket                              2.0.1      NtObjectManager
Function        Import-KerberosTicketCache                         2.0.1      NtObjectManager
Function        Import-LsaAuthToken                                2.0.1      NtObjectManager
Function        Import-NtObject                                    2.0.1      NtObjectManager
Function        Import-Win32Module                                 2.0.1      NtObjectManager
Function        Invoke-NtEnclave                                   2.0.1      NtObjectManager
Function        Lock-NtFile                                        2.0.1      NtObjectManager
Function        New-AppContainerProfile                            2.0.1      NtObjectManager
Function        New-ASN1DER                                        2.0.1      NtObjectManager
Function        New-FwConditionBuilder                             2.0.1      NtObjectManager
Function        New-FwFilterTemplate                               2.0.1      NtObjectManager
Function        New-FwNetEventListener                             2.0.1      NtObjectManager
Function        New-FwNetEventTemplate                             2.0.1      NtObjectManager
Function        New-KerberosApRequest                              2.0.1      NtObjectManager
Function        New-KerberosAsRequest                              2.0.1      NtObjectManager
Function        New-KerberosAuthenticator                          2.0.1      NtObjectManager
Function        New-KerberosAuthorizationData                      2.0.1      NtObjectManager
Function        New-KerberosChecksum                               2.0.1      NtObjectManager
Function        New-KerberosError                                  2.0.1      NtObjectManager
Function        New-KerberosKdcServer                              2.0.1      NtObjectManager
